station_id,n,coverage,width
ARM00087418,1072,0.8199626865671642,6.92523496974003
ASM00094120,1355,0.9018450184501845,14.260999805921054
ASM00094299,2820,0.925531914893617,13.721295563331655
ASM00094332,790,0.9227848101265823,9.527402307352562
ASM00094910,800,0.895,7.334098449237781
AUM00011035,2650,0.9086792452830189,7.662842213783044
AYM00089512,962,0.8804573804573804,3.818116029726559
BRM00082599,1851,0.8319827120475418,15.812835496605263
BRM00083208,2470,0.917004048582996,12.77992603763025
BRM00083378,2176,0.9384191176470589,10.331033434007628
CAM00071082,2961,0.9206349206349206,3.908420106837464
CAM00071811,2862,0.9192872117400419,6.268930225952249
CAM00071815,3031,0.8812273177169251,7.054943494649187
CAM00071926,3038,0.9114549045424621,4.769827619585262
CAM00071945,2733,0.9110867178924259,5.848578084732841
CAM00071964,2080,0.9153846153846154,4.58383608118835
CAM00073111,2673,0.9079685746352413,5.83384969126137
CHM00051828,1744,0.9512614678899083,6.793174692689163
CHM00052323,1482,0.9203778677462888,5.88130542817436
CHM00052818,1529,0.9051667756703728,6.3108551699857465
CHM00056691,1407,0.906183368869936,6.727458910815265
CHM00057131,2671,0.8966679146387121,11.055417712188166
CHM00057178,2718,0.8785871964679912,11.406130817943447
CHM00057816,2095,0.9045346062052506,9.106126479349404
CHM00057957,2662,0.9274981217129977,11.80936781571155
CHM00059211,2654,0.9370761115297664,12.422019986734439
CHM00059316,3146,0.9253019707565162,14.360148490218592
CYM00017607,1341,0.8575689783743475,10.571106582326362
FIM00002836,2609,0.8363357608279034,6.695253823429041
FIM00002963,2876,0.8567454798331016,7.035923440954181
FSM00061998,1215,0.8559670781893004,7.4399947831640665
GLM00004320,2173,0.9259088817303267,3.5602372518036596
GLM00004339,1897,0.9161834475487612,4.091267485630215
GLM00004360,1812,0.8945916114790287,3.7948746910307563
GMM00010771,2640,0.9007575757575758,7.91014383386054
GRM00016754,1343,0.9024571854058079,9.90339238194994
INM00042027,1368,0.7587719298245614,8.849675813970437
INM00042182,2715,0.9241252302025783,21.7875106129533
INM00042867,2499,0.929171668667467,21.292540965578247
IRM00040738,1194,0.9388609715242882,21.67924174355455
ITM00016429,3227,0.9054849705608925,12.449617332212625
JAM00047778,3065,0.8727569331158238,11.116259344407053
JMM00078397,2729,0.9241480395749359,13.658372621660822
LOM00011952,2377,0.8822044594026083,6.664337642867973
MUM00041256,1263,0.7941409342834521,11.911870828222078
MXM00076405,2449,0.8868926092282564,11.438398102860852
MXM00076743,3064,0.8815274151436031,15.07569675843457
MYM00048650,2917,0.8436750085704491,20.24664363752849
NOM00001010,2896,0.8411602209944752,6.627852422680034
NZM00093417,2920,0.9044520547945205,9.02362892125601
PLM00012120,2840,0.8588028169014085,8.1847993906817
RMM00091376,3063,0.9275220372184133,14.203986394136876
RPM00098558,1013,0.8104639684106614,9.994621856676357
RPM00098618,2033,0.838662075750123,10.469345399979332
RPM00098753,1681,0.9095776323616894,10.53167986485207
RSM00020292,2918,0.9167237834132967,4.862730733131305
RSM00020744,1795,0.8701949860724234,8.305239553179792
RSM00021946,3059,0.7322654462242563,5.876682641728347
RSM00022820,2879,0.8839874956582147,6.638590290099464
RSM00024266,2432,0.9638157894736842,5.545229309930233
RSM00024947,2736,0.9616228070175439,5.697539578166007
RSM00028661,2920,0.9386986301369863,6.825883314751095
RSM00029698,2634,0.9552012148823082,7.0200905442234385
RSM00030372,1859,0.8800430338891877,4.81939050189572
RSM00030673,1879,0.9515699840340607,5.306207221195987
RSM00030758,2076,0.9335260115606936,6.084694103770167
RSM00030965,1780,0.8634831460674157,5.998300205706696
RSM00031004,2479,0.9689390883420734,5.484440851670271
RSM00031369,921,0.9174809989142236,7.035258226018463
RSM00031736,3020,0.8576158940397351,7.265272748810935
RSM00031977,3026,0.9223397224058163,9.153770018669778
RSM00034122,1582,0.9601769911504425,10.525128913838598
SAM00041024,2840,0.8697183098591549,14.846790484586649
SEM00063985,2355,0.9380042462845011,18.510505841396903
SFM00068592,1835,0.852316076294278,11.16269557424674
SPM00060018,2670,0.8617977528089887,10.12390145895311
SWM00002185,1543,0.9144523655217109,7.5342792157506775
SWM00002365,1636,0.9290953545232273,7.47906946967196
THM00048568,2033,0.558288243974422,19.50029931952309
TUM00017351,2606,0.7820414428242517,11.460911469950133
USM00070231,2153,0.9242916860195076,4.8067029554324705
USM00070414,1986,0.9279959718026183,7.519097056492087
USM00072233,3244,0.8594327990135635,11.35810114202492
USM00072250,3255,0.8777265745007681,12.742007311706105
USM00072305,3295,0.910773899848255,10.791463544265799
USM00072318,2714,0.8747236551215918,7.745622520038289
USM00072340,2663,0.899361622230567,9.225062208228227
USM00072365,993,0.8902316213494461,5.030319260156294
USM00072388,2181,0.9055479138010087,6.664472208924924
USM00072649,2728,0.9050586510263929,7.086928650015222
USM00072797,2173,0.8720662678324896,7.089978238168776
USM00074794,3167,0.7811809283233344,11.528515514409388
VMM00048845,1469,0.9503063308373043,19.124703383800544
VMM00048900,3066,0.9390084801043705,16.979597139332448
