dataset,group,model,cluster,n,covered,width
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_320.tar.gz,95401,62604,768355.0131497501
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_350.tar.gz,107328,71813,858335.9167126471
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_015.tar.gz,107012,71212,875433.7187090857
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_046.tar.gz,100406,67550,835792.4621450029
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_074.tar.gz,80712,55138,692374.6897314392
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_105.tar.gz,60975,41548,516161.1746767287
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_135.tar.gz,112228,76362,957223.712824073
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_166.tar.gz,91713,61754,752923.5981572854
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_196.tar.gz,61475,41283,501067.55789402867
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_227.tar.gz,75050,50312,604125.0931569884
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_258.tar.gz,95708,63314,769195.6312894018
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_288.tar.gz,81046,54521,654464.2341060363
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_319.tar.gz,69305,46410,542452.5167078552
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_349.tar.gz,87380,59156,690703.064117745
RAPSODI_native,2to5km,diagonal,2024-08-10,1093,900,15421.385357391824
RAPSODI_native,2to5km,diagonal,2024-08-11,1130,991,19570.804337313948
RAPSODI_native,2to5km,diagonal,2024-08-12,717,518,11727.568691373375
RAPSODI_native,2to5km,diagonal,2024-08-13,900,720,14520.683020088994
RAPSODI_native,2to5km,diagonal,2024-08-14,1200,789,18286.611697789715
RAPSODI_native,2to5km,diagonal,2024-08-15,1242,1035,17949.553051139734
RAPSODI_native,2to5km,diagonal,2024-08-16,1800,1397,28766.084492770176
RAPSODI_native,2to5km,diagonal,2024-08-17,1200,1084,17471.19241820488
RAPSODI_native,2to5km,diagonal,2024-08-18,1200,534,18573.75435952691
RAPSODI_native,2to5km,diagonal,2024-08-19,1500,801,22473.748968395073
RAPSODI_native,2to5km,diagonal,2024-08-20,1500,905,21340.57308134328
RAPSODI_native,2to5km,diagonal,2024-08-21,1200,945,18028.31421861113
RAPSODI_native,2to5km,diagonal,2024-08-22,1800,1236,25316.090682989507
RAPSODI_native,2to5km,diagonal,2024-08-23,1200,913,17732.261879169975
RAPSODI_native,2to5km,diagonal,2024-08-24,1200,909,19147.344108337245
RAPSODI_native,2to5km,diagonal,2024-08-25,1500,999,22832.113549070094
RAPSODI_native,2to5km,diagonal,2024-08-26,1800,1168,28337.64740340212
RAPSODI_native,2to5km,diagonal,2024-08-27,1500,1164,21513.5662974918
RAPSODI_native,2to5km,diagonal,2024-08-28,1200,991,18108.888806565985
RAPSODI_native,2to5km,diagonal,2024-08-29,1500,1247,23194.446538758115
RAPSODI_native,2to5km,diagonal,2024-08-30,1500,1294,24866.644570472556
RAPSODI_native,2to5km,diagonal,2024-08-31,1500,1277,24389.52546247689
RAPSODI_native,2to5km,diagonal,2024-09-01,1499,1198,24050.014360710502
RAPSODI_native,2to5km,diagonal,2024-09-02,1500,842,24158.57818183639
RAPSODI_native,2to5km,diagonal,2024-09-03,1800,950,27280.364296852753
RAPSODI_native,2to5km,diagonal,2024-09-04,1199,717,17867.796933850383
RAPSODI_native,2to5km,diagonal,2024-09-05,1200,949,18266.616203103946
RAPSODI_native,2to5km,diagonal,2024-09-06,1200,1047,18907.196925885422
RAPSODI_native,2to5km,diagonal,2024-09-07,1500,1145,22425.978187194094
RAPSODI_native,2to5km,diagonal,2024-09-08,1200,675,18291.52185071688
RAPSODI_native,2to5km,diagonal,2024-09-09,1200,759,17147.75375614533
RAPSODI_native,2to5km,diagonal,2024-09-10,1800,1234,23109.516502718874
RAPSODI_native,2to5km,diagonal,2024-09-11,300,300,3517.7358513399668
RAPSODI_native,2to5km,reference,2024-08-10,1093,905,15849.116808325167
RAPSODI_native,2to5km,reference,2024-08-11,1130,999,20119.256521990745
RAPSODI_native,2to5km,reference,2024-08-12,717,525,12048.870532389401
RAPSODI_native,2to5km,reference,2024-08-13,900,740,14906.822787681194
RAPSODI_native,2to5km,reference,2024-08-14,1200,795,18724.307741251614
RAPSODI_native,2to5km,reference,2024-08-15,1242,1053,18446.37978625883
RAPSODI_native,2to5km,reference,2024-08-16,1800,1436,29511.93912627597
RAPSODI_native,2to5km,reference,2024-08-17,1200,1096,17944.352010783532
RAPSODI_native,2to5km,reference,2024-08-18,1200,552,19056.25543398147
RAPSODI_native,2to5km,reference,2024-08-19,1500,809,23050.78093051002
RAPSODI_native,2to5km,reference,2024-08-20,1500,921,21942.57111368057
RAPSODI_native,2to5km,reference,2024-08-21,1200,958,18543.58414095904
RAPSODI_native,2to5km,reference,2024-08-22,1800,1267,26022.08815815534
RAPSODI_native,2to5km,reference,2024-08-23,1200,927,18217.89642175919
RAPSODI_native,2to5km,reference,2024-08-24,1200,924,19646.012013805655
RAPSODI_native,2to5km,reference,2024-08-25,1500,1017,23367.852027847977
RAPSODI_native,2to5km,reference,2024-08-26,1800,1208,29068.90456503983
RAPSODI_native,2to5km,reference,2024-08-27,1500,1177,22080.815585970293
RAPSODI_native,2to5km,reference,2024-08-28,1200,1000,18557.982938662397
RAPSODI_native,2to5km,reference,2024-08-29,1500,1259,23794.530307851015
RAPSODI_native,2to5km,reference,2024-08-30,1500,1313,25513.706773922087
RAPSODI_native,2to5km,reference,2024-08-31,1500,1293,25001.291385344462
RAPSODI_native,2to5km,reference,2024-09-01,1499,1218,24647.699575129445
RAPSODI_native,2to5km,reference,2024-09-02,1500,853,24755.143523184186
RAPSODI_native,2to5km,reference,2024-09-03,1800,971,27963.091441765348
RAPSODI_native,2to5km,reference,2024-09-04,1199,729,18311.083256047263
RAPSODI_native,2to5km,reference,2024-09-05,1200,964,18727.515441157186
RAPSODI_native,2to5km,reference,2024-09-06,1200,1064,19394.495460755763
RAPSODI_native,2to5km,reference,2024-09-07,1500,1163,22986.98029835752
RAPSODI_native,2to5km,reference,2024-09-08,1200,682,18757.089541384783
RAPSODI_native,2to5km,reference,2024-09-09,1200,772,17614.810058096504
RAPSODI_native,2to5km,reference,2024-09-10,1800,1248,23775.056577347306
RAPSODI_native,2to5km,reference,2024-09-11,300,300,3611.671584648813
RAPSODI_native,5kmplus,diagonal,2024-08-10,1420,491,6508.742105639666
RAPSODI_native,5kmplus,diagonal,2024-08-11,1413,763,7022.563556148754
RAPSODI_native,5kmplus,diagonal,2024-08-12,941,361,4225.9793935449825
RAPSODI_native,5kmplus,diagonal,2024-08-13,1037,640,5414.414370869404
RAPSODI_native,5kmplus,diagonal,2024-08-14,1098,502,3961.71895973842
RAPSODI_native,5kmplus,diagonal,2024-08-15,1891,1324,8900.380012892585
RAPSODI_native,5kmplus,diagonal,2024-08-16,2840,1135,14198.04384708392
RAPSODI_native,5kmplus,diagonal,2024-08-17,1892,1116,9515.945621529492
RAPSODI_native,5kmplus,diagonal,2024-08-18,1891,695,8633.6616585702
RAPSODI_native,5kmplus,diagonal,2024-08-19,2368,1086,9886.199152401352
RAPSODI_native,5kmplus,diagonal,2024-08-20,2367,1871,11980.543649344108
RAPSODI_native,5kmplus,diagonal,2024-08-21,1886,933,10017.914268501589
RAPSODI_native,5kmplus,diagonal,2024-08-22,2834,1738,13931.642961986163
RAPSODI_native,5kmplus,diagonal,2024-08-23,1892,1226,9008.814706800325
RAPSODI_native,5kmplus,diagonal,2024-08-24,1891,1067,9120.125342502495
RAPSODI_native,5kmplus,diagonal,2024-08-25,2358,1794,9656.152641167148
RAPSODI_native,5kmplus,diagonal,2024-08-26,2839,2059,13404.622916422115
RAPSODI_native,5kmplus,diagonal,2024-08-27,2368,1224,11392.930337044021
RAPSODI_native,5kmplus,diagonal,2024-08-28,1513,965,6219.185154351425
RAPSODI_native,5kmplus,diagonal,2024-08-29,2361,1112,10274.453713697998
RAPSODI_native,5kmplus,diagonal,2024-08-30,2359,1489,11663.734760077223
RAPSODI_native,5kmplus,diagonal,2024-08-31,2364,1385,10616.974621150217
RAPSODI_native,5kmplus,diagonal,2024-09-01,2367,1715,9622.193059921814
RAPSODI_native,5kmplus,diagonal,2024-09-02,2358,967,9290.516660903206
RAPSODI_native,5kmplus,diagonal,2024-09-03,2830,672,11091.690789069176
RAPSODI_native,5kmplus,diagonal,2024-09-04,1891,560,7062.108680381935
RAPSODI_native,5kmplus,diagonal,2024-09-05,1891,592,7543.965521646984
RAPSODI_native,5kmplus,diagonal,2024-09-06,1772,550,7596.22731209119
RAPSODI_native,5kmplus,diagonal,2024-09-07,2363,1911,10133.589448667266
RAPSODI_native,5kmplus,diagonal,2024-09-08,1897,1599,8035.092003766222
RAPSODI_native,5kmplus,diagonal,2024-09-09,1892,1349,8877.611970853703
RAPSODI_native,5kmplus,diagonal,2024-09-10,2833,1676,13947.898458557824
RAPSODI_native,5kmplus,diagonal,2024-09-11,472,271,1622.111645986672
RAPSODI_native,5kmplus,reference,2024-08-10,1420,506,6658.335185842503
RAPSODI_native,5kmplus,reference,2024-08-11,1413,780,7210.011319463568
RAPSODI_native,5kmplus,reference,2024-08-12,941,361,4343.902218558943
RAPSODI_native,5kmplus,reference,2024-08-13,1037,658,5554.366486075266
RAPSODI_native,5kmplus,reference,2024-08-14,1098,515,4099.641924765449
RAPSODI_native,5kmplus,reference,2024-08-15,1891,1348,9140.189085774617
RAPSODI_native,5kmplus,reference,2024-08-16,2840,1162,14522.043676089366
RAPSODI_native,5kmplus,reference,2024-08-17,1892,1131,9735.570095862919
RAPSODI_native,5kmplus,reference,2024-08-18,1891,717,8866.377964842912
RAPSODI_native,5kmplus,reference,2024-08-19,2368,1125,10177.905479614421
RAPSODI_native,5kmplus,reference,2024-08-20,2367,1887,12262.295725840935
RAPSODI_native,5kmplus,reference,2024-08-21,1886,949,10248.00636213058
RAPSODI_native,5kmplus,reference,2024-08-22,2834,1775,14266.146603031182
RAPSODI_native,5kmplus,reference,2024-08-23,1892,1246,9214.749722017823
RAPSODI_native,5kmplus,reference,2024-08-24,1891,1106,9336.680967002056
RAPSODI_native,5kmplus,reference,2024-08-25,2358,1846,9943.664218660428
RAPSODI_native,5kmplus,reference,2024-08-26,2839,2104,13752.98167356715
RAPSODI_native,5kmplus,reference,2024-08-27,2368,1258,11650.08745491307
RAPSODI_native,5kmplus,reference,2024-08-28,1513,979,6398.116262368489
RAPSODI_native,5kmplus,reference,2024-08-29,2361,1130,10538.602335262489
RAPSODI_native,5kmplus,reference,2024-08-30,2359,1531,11969.492618623915
RAPSODI_native,5kmplus,reference,2024-08-31,2364,1400,10877.970287005734
RAPSODI_native,5kmplus,reference,2024-09-01,2367,1737,9872.070058719719
RAPSODI_native,5kmplus,reference,2024-09-02,2358,1024,9522.884751747606
RAPSODI_native,5kmplus,reference,2024-09-03,2830,687,11368.240707918329
RAPSODI_native,5kmplus,reference,2024-09-04,1891,571,7246.37872813042
RAPSODI_native,5kmplus,reference,2024-09-05,1891,597,7731.119597948527
RAPSODI_native,5kmplus,reference,2024-09-06,1772,584,7784.084140709278
RAPSODI_native,5kmplus,reference,2024-09-07,2363,1923,10378.24107279568
RAPSODI_native,5kmplus,reference,2024-09-08,1897,1614,8238.00516228758
RAPSODI_native,5kmplus,reference,2024-09-09,1892,1364,9078.457589466634
RAPSODI_native,5kmplus,reference,2024-09-10,2833,1742,14294.215583783534
RAPSODI_native,5kmplus,reference,2024-09-11,472,272,1664.272453084726
RAPSODI_native,all,diagonal,2024-08-09,85,70,2235.025583439384
RAPSODI_native,all,diagonal,2024-08-10,3559,2081,46752.2238172502
RAPSODI_native,all,diagonal,2024-08-11,3495,2510,50116.6293445311
RAPSODI_native,all,diagonal,2024-08-12,2221,1315,29772.613923079687
RAPSODI_native,all,diagonal,2024-08-13,2622,1892,36717.868958301406
RAPSODI_native,all,diagonal,2024-08-14,3056,1891,40999.53400650026
RAPSODI_native,all,diagonal,2024-08-15,4079,3062,48979.211192762865
RAPSODI_native,all,diagonal,2024-08-16,5784,3429,69641.6619030714
RAPSODI_native,all,diagonal,2024-08-17,3852,2935,44244.505215075464
RAPSODI_native,all,diagonal,2024-08-18,3846,1924,46099.85279095615
RAPSODI_native,all,diagonal,2024-08-19,4806,2450,55270.60909633367
RAPSODI_native,all,diagonal,2024-08-20,4811,3488,55858.466405929845
RAPSODI_native,all,diagonal,2024-08-21,3847,2414,47749.56898688562
RAPSODI_native,all,diagonal,2024-08-22,5762,3984,65701.08934698791
RAPSODI_native,all,diagonal,2024-08-23,3844,2776,46012.618137259065
RAPSODI_native,all,diagonal,2024-08-24,3845,2464,48029.220160517034
RAPSODI_native,all,diagonal,2024-08-25,4800,3492,53866.160754239834
RAPSODI_native,all,diagonal,2024-08-26,5770,4163,69261.0296272356
RAPSODI_native,all,diagonal,2024-08-27,4803,3294,53004.35530898168
RAPSODI_native,all,diagonal,2024-08-28,3460,2559,42801.38056939747
RAPSODI_native,all,diagonal,2024-08-29,4800,3152,59016.04374538174
RAPSODI_native,all,diagonal,2024-08-30,4805,3480,61465.511585379485
RAPSODI_native,all,diagonal,2024-08-31,4809,3417,58100.25851110474
RAPSODI_native,all,diagonal,2024-09-01,4806,3442,58938.780298080266
RAPSODI_native,all,diagonal,2024-09-02,4802,2544,59148.579509441006
RAPSODI_native,all,diagonal,2024-09-03,5759,2502,67076.59192108021
RAPSODI_native,all,diagonal,2024-09-04,3839,1846,43805.866896436004
RAPSODI_native,all,diagonal,2024-09-05,3843,2088,44604.457559619696
RAPSODI_native,all,diagonal,2024-09-06,3721,2172,44937.016669643155
RAPSODI_native,all,diagonal,2024-09-07,4805,3881,53998.314275441895
RAPSODI_native,all,diagonal,2024-09-08,3844,2978,44308.37297639266
RAPSODI_native,all,diagonal,2024-09-09,3840,2648,44181.892290938165
RAPSODI_native,all,diagonal,2024-09-10,5767,3983,64687.3864098071
RAPSODI_native,all,diagonal,2024-09-11,959,699,9393.102122946924
RAPSODI_native,all,reference,2024-08-09,85,72,2342.486037723133
RAPSODI_native,all,reference,2024-08-10,3559,2117,48228.94492114343
RAPSODI_native,all,reference,2024-08-11,3495,2546,51623.75513652527
RAPSODI_native,all,reference,2024-08-12,2221,1330,30668.790162708185
RAPSODI_native,all,reference,2024-08-13,2622,1939,37841.39727113999
RAPSODI_native,all,reference,2024-08-14,3056,1913,42219.17495040407
RAPSODI_native,all,reference,2024-08-15,4079,3123,50463.2031700026
RAPSODI_native,all,reference,2024-08-16,5784,3507,71627.43836937784
RAPSODI_native,all,reference,2024-08-17,3852,2965,45539.27765051992
RAPSODI_native,all,reference,2024-08-18,3846,1967,47459.4285688613
RAPSODI_native,all,reference,2024-08-19,4806,2504,56897.554669362326
RAPSODI_native,all,reference,2024-08-20,4811,3523,57496.53941253081
RAPSODI_native,all,reference,2024-08-21,3847,2452,49148.19606198271
RAPSODI_native,all,reference,2024-08-22,5762,4063,67631.37580335695
RAPSODI_native,all,reference,2024-08-23,3844,2838,47359.29066386847
RAPSODI_native,all,reference,2024-08-24,3845,2531,49431.795321571524
RAPSODI_native,all,reference,2024-08-25,4800,3571,55449.99333800641
RAPSODI_native,all,reference,2024-08-26,5770,4259,71281.21640933202
RAPSODI_native,all,reference,2024-08-27,4803,3342,54529.42929042568
RAPSODI_native,all,reference,2024-08-28,3460,2585,44075.3464160861
RAPSODI_native,all,reference,2024-08-29,4800,3210,60762.71515807358
RAPSODI_native,all,reference,2024-08-30,4805,3551,63274.19254635982
RAPSODI_native,all,reference,2024-08-31,4809,3456,59763.24219886736
RAPSODI_native,all,reference,2024-09-01,4806,3489,60651.99670842055
RAPSODI_native,all,reference,2024-09-02,4802,2620,60855.7616083865
RAPSODI_native,all,reference,2024-09-03,5759,2551,69027.17798515133
RAPSODI_native,all,reference,2024-09-04,3839,1879,45083.59927235549
RAPSODI_native,all,reference,2024-09-05,3843,2139,45895.20590228072
RAPSODI_native,all,reference,2024-09-06,3721,2234,46235.76324837001
RAPSODI_native,all,reference,2024-09-07,4805,3919,55553.93851855237
RAPSODI_native,all,reference,2024-09-08,3844,3007,45590.07699302971
RAPSODI_native,all,reference,2024-09-09,3840,2684,45474.57204940841
RAPSODI_native,all,reference,2024-09-10,5767,4069,66656.7062156332
RAPSODI_native,all,reference,2024-09-11,959,704,9674.028075532271
RAPSODI_native,below2km,diagonal,2024-08-09,85,70,2235.025583439384
RAPSODI_native,below2km,diagonal,2024-08-10,1046,690,24822.09635421871
RAPSODI_native,below2km,diagonal,2024-08-11,952,756,23523.2614510684
RAPSODI_native,below2km,diagonal,2024-08-12,563,436,13819.06583816133
RAPSODI_native,below2km,diagonal,2024-08-13,685,532,16782.771567343007
RAPSODI_native,below2km,diagonal,2024-08-14,758,600,18751.20334897213
RAPSODI_native,below2km,diagonal,2024-08-15,946,703,22129.278128730544
RAPSODI_native,below2km,diagonal,2024-08-16,1144,897,26677.533563217305
RAPSODI_native,below2km,diagonal,2024-08-17,760,735,17257.36717534109
RAPSODI_native,below2km,diagonal,2024-08-18,755,695,18892.436772859044
RAPSODI_native,below2km,diagonal,2024-08-19,938,563,22910.66097553724
RAPSODI_native,below2km,diagonal,2024-08-20,944,712,22537.349675242458
RAPSODI_native,below2km,diagonal,2024-08-21,761,536,19703.3404997729
RAPSODI_native,below2km,diagonal,2024-08-22,1128,1010,26453.35570201224
RAPSODI_native,below2km,diagonal,2024-08-23,752,637,19271.541551288763
RAPSODI_native,below2km,diagonal,2024-08-24,754,488,19761.750709677297
RAPSODI_native,below2km,diagonal,2024-08-25,942,699,21377.894564002596
RAPSODI_native,below2km,diagonal,2024-08-26,1131,936,27518.75930741137
RAPSODI_native,below2km,diagonal,2024-08-27,935,906,20097.85867444585
RAPSODI_native,below2km,diagonal,2024-08-28,747,603,18473.306608480063
RAPSODI_native,below2km,diagonal,2024-08-29,939,793,25547.14349292563
RAPSODI_native,below2km,diagonal,2024-08-30,946,697,24935.13225482971
RAPSODI_native,below2km,diagonal,2024-08-31,945,755,23093.75842747763
RAPSODI_native,below2km,diagonal,2024-09-01,940,529,25266.572877447947
RAPSODI_native,below2km,diagonal,2024-09-02,944,735,25699.48466670141
RAPSODI_native,below2km,diagonal,2024-09-03,1129,880,28704.536835158273
RAPSODI_native,below2km,diagonal,2024-09-04,749,569,18875.961282203687
RAPSODI_native,below2km,diagonal,2024-09-05,752,547,18793.875834868766
RAPSODI_native,below2km,diagonal,2024-09-06,749,575,18433.59243166654
RAPSODI_native,below2km,diagonal,2024-09-07,942,825,21438.746639580535
RAPSODI_native,below2km,diagonal,2024-09-08,747,704,17981.759121909563
RAPSODI_native,below2km,diagonal,2024-09-09,748,540,18156.526563939133
RAPSODI_native,below2km,diagonal,2024-09-10,1134,1073,27629.9714485304
RAPSODI_native,below2km,diagonal,2024-09-11,187,128,4253.254625620285
RAPSODI_native,below2km,reference,2024-08-09,85,72,2342.486037723133
RAPSODI_native,below2km,reference,2024-08-10,1046,706,25721.492926975763
RAPSODI_native,below2km,reference,2024-08-11,952,767,24294.48729507096
RAPSODI_native,below2km,reference,2024-08-12,563,444,14276.01741175984
RAPSODI_native,below2km,reference,2024-08-13,685,541,17380.207997383528
RAPSODI_native,below2km,reference,2024-08-14,758,603,19395.225284387005
RAPSODI_native,below2km,reference,2024-08-15,946,722,22876.63429796915
RAPSODI_native,below2km,reference,2024-08-16,1144,909,27593.455567012505
RAPSODI_native,below2km,reference,2024-08-17,760,738,17859.355543873473
RAPSODI_native,below2km,reference,2024-08-18,755,698,19536.795170036923
RAPSODI_native,below2km,reference,2024-08-19,938,570,23668.86825923788
RAPSODI_native,below2km,reference,2024-08-20,944,715,23291.672573009306
RAPSODI_native,below2km,reference,2024-08-21,761,545,20356.60555889309
RAPSODI_native,below2km,reference,2024-08-22,1128,1021,27343.14104217043
RAPSODI_native,below2km,reference,2024-08-23,752,665,19926.644520091457
RAPSODI_native,below2km,reference,2024-08-24,754,501,20449.10234076381
RAPSODI_native,below2km,reference,2024-08-25,942,708,22138.477091498004
RAPSODI_native,below2km,reference,2024-08-26,1131,947,28459.33017072504
RAPSODI_native,below2km,reference,2024-08-27,935,907,20798.52624954232
RAPSODI_native,below2km,reference,2024-08-28,747,606,19119.247215055217
RAPSODI_native,below2km,reference,2024-08-29,939,821,26429.58251496008
RAPSODI_native,below2km,reference,2024-08-30,946,707,25790.993153813823
RAPSODI_native,below2km,reference,2024-08-31,945,763,23883.980526517164
RAPSODI_native,below2km,reference,2024-09-01,940,534,26132.227074571387
RAPSODI_native,below2km,reference,2024-09-02,944,743,26577.733333454704
RAPSODI_native,below2km,reference,2024-09-03,1129,893,29695.845835467648
RAPSODI_native,below2km,reference,2024-09-04,749,579,19526.137288177804
RAPSODI_native,below2km,reference,2024-09-05,752,578,19436.57086317501
RAPSODI_native,below2km,reference,2024-09-06,749,586,19057.183646904967
RAPSODI_native,below2km,reference,2024-09-07,942,833,22188.71714739917
RAPSODI_native,below2km,reference,2024-09-08,747,711,18594.982289357347
RAPSODI_native,below2km,reference,2024-09-09,748,548,18781.304401845267
RAPSODI_native,below2km,reference,2024-09-10,1134,1079,28587.43405450235
RAPSODI_native,below2km,reference,2024-09-11,187,132,4398.0840377987315
