file,part,iterations,maximum
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_hetero_structured_run71\model.joblib,mean_dry,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_hetero_structured_run71\model.joblib,mean_wet,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_hetero_structured_run71\model.joblib,scale_dry,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_hetero_structured_run71\model.joblib,scale_wet,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_hetero_structured_run71\model.joblib,scale_total,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_level_run101\model.joblib,mean_dry,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_level_run101\model.joblib,mean_wet,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_level_run11\model.joblib,mean_dry,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_level_run11\model.joblib,mean_wet,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_level_run23\model.joblib,mean_dry,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_level_run23\model.joblib,mean_wet,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_level_run42\model.joblib,mean_dry,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_level_run42\model.joblib,mean_wet,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_level_run71\model.joblib,mean_dry,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_level_run71\model.joblib,mean_wet,300,300
paper_outputs\ess_major_revision\experiments\formal\point\point_models.joblib,hgb_components_utc_0,100,100
paper_outputs\ess_major_revision\experiments\formal\point\point_models.joblib,hgb_components_utc_1,100,100
paper_outputs\ess_major_revision\experiments\formal\point\point_models.joblib,hgb_total_utc_0,300,300
paper_outputs\ess_major_revision\experiments\formal\point\point_models.joblib,hgb_components_no_utc_0,100,100
paper_outputs\ess_major_revision\experiments\formal\point\point_models.joblib,hgb_components_no_utc_1,100,100
paper_outputs\ess_major_revision\experiments\formal\point\point_models.joblib,hgb_total_no_utc_0,300,300
