group,key,n,stations,coverage,lower,upper,width
pressure_hpa,300,41865,94,0.9070345157052431,0.8911895112566672,0.920510781649245,1.3174096858931736
pressure_hpa,500,42591,94,0.8853278861731352,0.8682077827336062,0.8998631070106243,4.280853854135922
pressure_hpa,700,42894,94,0.8977246234904649,0.8865793556862628,0.9081587890788915,10.32675064479988
pressure_hpa,850,40413,89,0.8826862643208868,0.8682713204047275,0.896328479472085,14.0437298404045
pressure_hpa,925,32894,78,0.8840518027603819,0.8644259136704936,0.9014234309990269,17.155640591794416
pressure_hpa,1000,13594,53,0.8889215830513462,0.8387523851469743,0.9221872350625977,19.032038641507036
scale_bin,"(300, 1)",10000,56,0.9365,0.9253551453515183,0.9462513431408031,0.8476871766997867
scale_bin,"(300, 2)",6619,69,0.9054237800271945,0.8805370382819333,0.9239481324601954,0.9875555564351154
scale_bin,"(300, 3)",5324,80,0.8916228399699474,0.8663851136713454,0.9147424661182946,1.1334971685896773
scale_bin,"(300, 4)",6362,83,0.8951587551084564,0.8681467867823707,0.9200947746194169,1.3553848190401292
scale_bin,"(300, 5)",13560,74,0.8977138643067847,0.8619328390274758,0.9254150265317437,1.879215144584888
scale_bin,"(500, 1)",2523,60,0.9191438763376932,0.892015887636451,0.9369002634514056,1.4456444164242543
scale_bin,"(500, 2)",4610,89,0.8911062906724512,0.8207301829059592,0.9372505944077826,1.8188076022316484
scale_bin,"(500, 3)",6676,90,0.9015877771120432,0.8771997502474975,0.9223726114403955,2.264030343307573
scale_bin,"(500, 4)",10762,91,0.8891469986991266,0.8644692624657684,0.9100910012579961,3.3815631308373635
scale_bin,"(500, 5)",18020,92,0.8708102108768035,0.8542026192519809,0.8853573391010753,6.591938601919181
scale_bin,"(700, 1)",2722,68,0.9136664217487142,0.8698389410183253,0.9439643028054399,2.5539342636331437
scale_bin,"(700, 2)",3503,82,0.9240650870682272,0.908456948114879,0.9385009469263408,3.886303624118936
scale_bin,"(700, 3)",6583,87,0.9150843080662312,0.9039986245443303,0.9266561392305903,5.7430342323195465
scale_bin,"(700, 4)",13345,90,0.895391532409142,0.8841461312026914,0.9063041386825271,9.47769535759133
scale_bin,"(700, 5)",16741,86,0.8846544411922824,0.8641512833634397,0.9030209515860105,15.417470437771469
scale_bin,"(850, 1)",2298,45,0.9225413402959095,0.9029491174158508,0.9401556263249188,3.9530587698911526
scale_bin,"(850, 2)",3736,56,0.925321199143469,0.9097814478494151,0.9392253729189713,5.793793689379262
scale_bin,"(850, 3)",5107,68,0.8983747797141178,0.8833859622691073,0.9134988490168346,7.953542032726644
scale_bin,"(850, 4)",11026,80,0.8847270088880828,0.8695362828625456,0.8991611135849593,11.791354714165063
scale_bin,"(850, 5)",18246,83,0.8633125068508166,0.838393783798095,0.8861435915865333,20.069565686946028
scale_bin,"(925, 1)",1926,32,0.9257528556593977,0.898868375672126,0.9491534887242238,4.768860798727686
scale_bin,"(925, 2)",2335,44,0.9207708779443254,0.8988943415491176,0.9403868163929658,6.704630942736194
scale_bin,"(925, 3)",4250,52,0.9018823529411765,0.8855771493405832,0.9165663657365026,8.859167997267864
scale_bin,"(925, 4)",10276,67,0.8871156091864538,0.8693964645114102,0.902522613295736,13.69119098660148
scale_bin,"(925, 5)",14107,69,0.8646771106542851,0.8243077898744944,0.8981289466675092,25.599727788342076
scale_bin,"(1000, 1)",864,25,0.9247685185185185,0.8797106689274553,0.9504335217875298,6.245757733841936
scale_bin,"(1000, 2)",897,29,0.9085841694537347,0.8777678588920934,0.9361465586258764,8.396507076318056
scale_bin,"(1000, 3)",1997,35,0.929394091136705,0.9083417009955372,0.9462779160555486,11.31603790931875
scale_bin,"(1000, 4)",2709,40,0.8933185677371724,0.8647186861215572,0.9162731659096025,16.454220289832055
scale_bin,"(1000, 5)",7127,41,0.8690893784200926,0.775568384374037,0.9284890789665178,25.062567881729386
