dataset,group,model,cluster,n,error,sse
COSMIC2,all,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_196.tar.gz,61475,44629.17432769174,1640032.819553839
COSMIC2,all,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_227.tar.gz,75050,44763.860337814825,1931969.1827071484
COSMIC2,all,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_258.tar.gz,95708,53322.288873941674,2593140.2430189284
COSMIC2,all,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_288.tar.gz,81046,50568.653808571704,2143032.7797704646
COSMIC2,all,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_319.tar.gz,69305,53859.14830978016,1908239.4116446045
COSMIC2,all,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_349.tar.gz,87380,69686.86939611803,2373809.059606328
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_015.tar.gz,75500,91672.70979861262,2463097.4278936205
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_046.tar.gz,69438,85644.72202225958,2499014.041007787
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_075.tar.gz,75836,98359.70213214944,2784338.502193914
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_106.tar.gz,86599,104952.5635759711,3008497.372807357
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_136.tar.gz,85040,107069.10953313515,2935323.3795878356
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_167.tar.gz,89602,117203.37165394709,3045326.7578113154
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_197.tar.gz,63416,83394.92637266919,2137642.0632025404
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_228.tar.gz,79540,105953.48703674415,2733023.4060365274
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_259.tar.gz,93622,106866.95670278609,3286772.2913159574
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_289.tar.gz,100617,122311.52436716483,3355889.9971348722
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_320.tar.gz,95401,104590.38514322593,3116140.313234837
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_350.tar.gz,107328,113567.41373655255,3255059.317988159
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_015.tar.gz,107012,114857.4088101138,3334166.8446124396
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_046.tar.gz,100406,100707.06051387465,3138806.0029922756
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_074.tar.gz,80712,84814.50010902551,2617939.033998474
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_105.tar.gz,60975,69646.76324056074,1875776.6799184927
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_135.tar.gz,112228,129977.31895283906,3373230.8757673474
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_166.tar.gz,91713,107596.71321980497,2884387.7964021605
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_196.tar.gz,61475,83358.68351879834,1894217.636188261
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_227.tar.gz,75050,91629.652087068,2238759.3907087785
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_258.tar.gz,95708,107477.25875124619,2922387.4908810724
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_288.tar.gz,81046,89455.66100944112,2366466.218617345
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_319.tar.gz,69305,87626.05918600742,2129760.7980909483
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_349.tar.gz,87380,108354.8592740982,2635881.389810718
RAPSODI_native,2to5km,ERA5,2024-08-10,1093,-1675.6329340262346,24217.51189507028
RAPSODI_native,2to5km,ERA5,2024-08-11,1130,-1374.5481072810219,42189.20013339655
RAPSODI_native,2to5km,ERA5,2024-08-12,717,1005.5380664036317,27052.867978086688
RAPSODI_native,2to5km,ERA5,2024-08-13,900,250.11698060988962,27289.816480793455
RAPSODI_native,2to5km,ERA5,2024-08-14,1200,-6007.995208874941,64208.47614408315
RAPSODI_native,2to5km,ERA5,2024-08-15,1242,-2137.7334147239503,27917.39608753523
RAPSODI_native,2to5km,ERA5,2024-08-16,1800,-9056.596894689683,96985.00590948382
RAPSODI_native,2to5km,ERA5,2024-08-17,1200,-4029.783946519515,33649.94593697591
RAPSODI_native,2to5km,ERA5,2024-08-18,1200,-7263.4742148464375,169829.16486219666
RAPSODI_native,2to5km,ERA5,2024-08-19,1500,-11403.82796768141,174509.02741226502
RAPSODI_native,2to5km,ERA5,2024-08-20,1500,-5457.19513507241,123045.50347000938
RAPSODI_native,2to5km,ERA5,2024-08-21,1200,-178.00482012136283,53055.586806248226
RAPSODI_native,2to5km,ERA5,2024-08-22,1800,-5962.915350789954,155003.01944334447
RAPSODI_native,2to5km,ERA5,2024-08-23,1200,-7341.063725698512,61215.269769223705
RAPSODI_native,2to5km,ERA5,2024-08-24,1200,-3122.3611768460305,63413.64004374482
RAPSODI_native,2to5km,ERA5,2024-08-25,1500,-6978.628517280139,80831.57920468885
RAPSODI_native,2to5km,ERA5,2024-08-26,1800,-11572.776574988895,129540.43956619767
RAPSODI_native,2to5km,ERA5,2024-08-27,1500,-6697.61418337231,68447.04992385533
RAPSODI_native,2to5km,ERA5,2024-08-28,1200,-4689.19141077982,41012.227150725914
RAPSODI_native,2to5km,ERA5,2024-08-29,1500,-5274.651394334349,49039.489458932876
RAPSODI_native,2to5km,ERA5,2024-08-30,1500,-4127.3494773404655,41230.91437638562
RAPSODI_native,2to5km,ERA5,2024-08-31,1500,-1532.1167532891582,30207.03001279537
RAPSODI_native,2to5km,ERA5,2024-09-01,1499,-1804.1004615792785,36231.897606249615
RAPSODI_native,2to5km,ERA5,2024-09-02,1500,-10576.215767625918,114699.91948574326
RAPSODI_native,2to5km,ERA5,2024-09-03,1800,-13692.78646451402,131535.980266112
RAPSODI_native,2to5km,ERA5,2024-09-04,1199,-8181.479370204169,87671.44848081842
RAPSODI_native,2to5km,ERA5,2024-09-05,1200,-1088.0458235371373,39571.425639352456
RAPSODI_native,2to5km,ERA5,2024-09-06,1200,-1199.3792142253478,52717.28019969416
RAPSODI_native,2to5km,ERA5,2024-09-07,1500,-4618.626461465761,95282.87571291199
RAPSODI_native,2to5km,ERA5,2024-09-08,1200,-7021.6928459118635,105065.38570837231
RAPSODI_native,2to5km,ERA5,2024-09-09,1200,-8505.859968924029,103032.84593394895
RAPSODI_native,2to5km,ERA5,2024-09-10,1800,-7814.239745145552,85980.05051221218
RAPSODI_native,2to5km,ERA5,2024-09-11,300,-813.8063078357491,3162.030538401209
RAPSODI_native,2to5km,reference,2024-08-10,1093,-986.4142606677668,23487.798602294813
RAPSODI_native,2to5km,reference,2024-08-11,1130,72.69561480130119,37256.787360327115
RAPSODI_native,2to5km,reference,2024-08-12,717,1952.7430739734177,33182.82372753152
RAPSODI_native,2to5km,reference,2024-08-13,900,1367.0161975988842,31451.966590976368
RAPSODI_native,2to5km,reference,2024-08-14,1200,-5044.715002856803,57321.29974620239
RAPSODI_native,2to5km,reference,2024-08-15,1242,-1353.5044304391772,27109.43894256076
RAPSODI_native,2to5km,reference,2024-08-16,1800,-6555.522172170296,75165.39135170532
RAPSODI_native,2to5km,reference,2024-08-17,1200,-2211.4340480120577,21873.103825847313
RAPSODI_native,2to5km,reference,2024-08-18,1200,-5959.241751362435,158384.6573404333
RAPSODI_native,2to5km,reference,2024-08-19,1500,-9991.421358658194,157338.55848992764
RAPSODI_native,2to5km,reference,2024-08-20,1500,-3535.0982294458527,108808.74920600666
RAPSODI_native,2to5km,reference,2024-08-21,1200,1594.8628517030634,53388.584329608304
RAPSODI_native,2to5km,reference,2024-08-22,1800,-3034.964029815224,145579.1846040611
RAPSODI_native,2to5km,reference,2024-08-23,1200,-5560.094461509058,42875.573969073404
RAPSODI_native,2to5km,reference,2024-08-24,1200,-1699.223731356128,57350.646187321094
RAPSODI_native,2to5km,reference,2024-08-25,1500,-5418.953918990581,68746.42686355147
RAPSODI_native,2to5km,reference,2024-08-26,1800,-9377.517140500171,103015.79864602172
RAPSODI_native,2to5km,reference,2024-08-27,1500,-4529.467717482647,52988.96705740195
RAPSODI_native,2to5km,reference,2024-08-28,1200,-3062.8901678746793,31049.50216851467
RAPSODI_native,2to5km,reference,2024-08-29,1500,-3274.6259018653454,37532.16910105387
RAPSODI_native,2to5km,reference,2024-08-30,1500,-2408.0309929828477,33969.62237426781
RAPSODI_native,2to5km,reference,2024-08-31,1500,282.79134472583473,28478.70424290415
RAPSODI_native,2to5km,reference,2024-09-01,1499,-153.4849406969509,34903.53527759196
RAPSODI_native,2to5km,reference,2024-09-02,1500,-8862.279346965674,94556.27872460493
RAPSODI_native,2to5km,reference,2024-09-03,1800,-11418.624373985547,101112.88944898368
RAPSODI_native,2to5km,reference,2024-09-04,1199,-6677.187245486536,69093.00725003863
RAPSODI_native,2to5km,reference,2024-09-05,1200,372.6362018075596,37445.04446656828
RAPSODI_native,2to5km,reference,2024-09-06,1200,352.17971993545655,49651.07069899601
RAPSODI_native,2to5km,reference,2024-09-07,1500,-2579.232309924589,80745.1566206149
RAPSODI_native,2to5km,reference,2024-09-08,1200,-5514.174618567425,96483.68745322003
RAPSODI_native,2to5km,reference,2024-09-09,1200,-7074.109393311841,85780.36731793029
RAPSODI_native,2to5km,reference,2024-09-10,1800,-5138.685389968374,64150.57633269279
RAPSODI_native,2to5km,reference,2024-09-11,300,-315.6662031287847,986.6437339340921
RAPSODI_native,5kmplus,ERA5,2024-08-10,1420,122.26780794839347,15155.797046580401
RAPSODI_native,5kmplus,ERA5,2024-08-11,1413,838.4483066981977,10340.640567745611
RAPSODI_native,5kmplus,ERA5,2024-08-12,941,-3192.5543493506125,23087.696716680763
RAPSODI_native,5kmplus,ERA5,2024-08-13,1037,-829.182298178673,11052.692403665023
RAPSODI_native,5kmplus,ERA5,2024-08-14,1098,-1251.9088363928497,20968.260100402582
RAPSODI_native,5kmplus,ERA5,2024-08-15,1891,-1187.1301431340148,15043.621316272707
RAPSODI_native,5kmplus,ERA5,2024-08-16,2840,5499.121139936629,32820.16036232549
RAPSODI_native,5kmplus,ERA5,2024-08-17,1892,1356.7991292223585,12496.306797996354
RAPSODI_native,5kmplus,ERA5,2024-08-18,1891,719.5164342889642,31264.634687528804
RAPSODI_native,5kmplus,ERA5,2024-08-19,2368,-601.3874860960705,24972.37232689366
RAPSODI_native,5kmplus,ERA5,2024-08-20,2367,-2633.7006591285613,15518.557165900316
RAPSODI_native,5kmplus,ERA5,2024-08-21,1886,1129.417806691727,18644.702927447364
RAPSODI_native,5kmplus,ERA5,2024-08-22,2834,-4474.299488918493,30729.200997233485
RAPSODI_native,5kmplus,ERA5,2024-08-23,1892,-1260.41144206601,12394.361797441592
RAPSODI_native,5kmplus,ERA5,2024-08-24,1891,-830.7436044854551,22804.888820277272
RAPSODI_native,5kmplus,ERA5,2024-08-25,2358,-642.7879545882033,11059.731463174481
RAPSODI_native,5kmplus,ERA5,2024-08-26,2839,-1523.3170868327393,11704.102609194388
RAPSODI_native,5kmplus,ERA5,2024-08-27,2368,744.836113157108,14325.175342942246
RAPSODI_native,5kmplus,ERA5,2024-08-28,1513,700.8627670034934,10773.22240518848
RAPSODI_native,5kmplus,ERA5,2024-08-29,2361,1603.9874899839124,24844.787346249115
RAPSODI_native,5kmplus,ERA5,2024-08-30,2359,-3095.2399679382406,19097.40218632148
RAPSODI_native,5kmplus,ERA5,2024-08-31,2364,-1460.560833273254,18169.39702280213
RAPSODI_native,5kmplus,ERA5,2024-09-01,2367,-1169.867035455991,13557.427725132424
RAPSODI_native,5kmplus,ERA5,2024-09-02,2358,1503.0557796296573,22755.635507304993
RAPSODI_native,5kmplus,ERA5,2024-09-03,2830,5386.299556102869,65813.57926081658
RAPSODI_native,5kmplus,ERA5,2024-09-04,1891,2795.7857895477077,31483.035003182587
RAPSODI_native,5kmplus,ERA5,2024-09-05,1891,5302.805962629848,47695.106178860115
RAPSODI_native,5kmplus,ERA5,2024-09-06,1772,4361.883959440835,51024.505632038876
RAPSODI_native,5kmplus,ERA5,2024-09-07,2363,-1133.9343152129711,23714.97050999881
RAPSODI_native,5kmplus,ERA5,2024-09-08,1897,-1437.7444801984473,11937.950780191288
RAPSODI_native,5kmplus,ERA5,2024-09-09,1892,-875.4057280993534,16219.512090710095
RAPSODI_native,5kmplus,ERA5,2024-09-10,2833,1189.1727563406725,50986.024872305155
RAPSODI_native,5kmplus,ERA5,2024-09-11,472,102.94913955767034,1660.5461708587814
RAPSODI_native,5kmplus,reference,2024-08-10,1420,690.7905036415312,14931.051605007451
RAPSODI_native,5kmplus,reference,2024-08-11,1413,1431.294682835177,10861.971571448059
RAPSODI_native,5kmplus,reference,2024-08-12,941,-2883.6793552350164,21012.008424251628
RAPSODI_native,5kmplus,reference,2024-08-13,1037,-371.3187872965919,10159.17296537641
RAPSODI_native,5kmplus,reference,2024-08-14,1098,-1007.4177176788606,20071.445479498183
RAPSODI_native,5kmplus,reference,2024-08-15,1891,-490.36600793958377,14386.240380620346
RAPSODI_native,5kmplus,reference,2024-08-16,2840,6837.150508793307,37733.348480202694
RAPSODI_native,5kmplus,reference,2024-08-17,1892,2058.1426024205607,13446.995589075543
RAPSODI_native,5kmplus,reference,2024-08-18,1891,1596.8201687413693,31192.603781677248
RAPSODI_native,5kmplus,reference,2024-08-19,2368,550.3415972209381,23721.19259474756
RAPSODI_native,5kmplus,reference,2024-08-20,2367,-1657.0603780495444,13604.029236932616
RAPSODI_native,5kmplus,reference,2024-08-21,1886,1912.888524062272,20136.046393012395
RAPSODI_native,5kmplus,reference,2024-08-22,2834,-3186.5512260912096,26612.120811156303
RAPSODI_native,5kmplus,reference,2024-08-23,1892,-337.1286366271616,10426.486604192089
RAPSODI_native,5kmplus,reference,2024-08-24,1891,-168.82477266401304,21310.481372007824
RAPSODI_native,5kmplus,reference,2024-08-25,2358,522.0457050352221,10374.202772677367
RAPSODI_native,5kmplus,reference,2024-08-26,2839,-80.32636532347553,9466.4095838063
RAPSODI_native,5kmplus,reference,2024-08-27,2368,1761.3537781220423,14554.453165712237
RAPSODI_native,5kmplus,reference,2024-08-28,1513,1213.473101813661,11219.221777725177
RAPSODI_native,5kmplus,reference,2024-08-29,2361,2671.3017229659436,26217.189117652575
RAPSODI_native,5kmplus,reference,2024-08-30,2359,-2073.876797400116,16565.9204171647
RAPSODI_native,5kmplus,reference,2024-08-31,2364,-823.1259569307695,18197.005078743387
RAPSODI_native,5kmplus,reference,2024-09-01,2367,-612.2874701873078,13381.449856367719
RAPSODI_native,5kmplus,reference,2024-09-02,2358,2111.9489795742525,22828.20203578578
RAPSODI_native,5kmplus,reference,2024-09-03,2830,6757.506355553488,69888.75966099188
RAPSODI_native,5kmplus,reference,2024-09-04,1891,3776.3427278469017,33424.494802949885
RAPSODI_native,5kmplus,reference,2024-09-05,1891,6164.913858238372,52056.49257666332
RAPSODI_native,5kmplus,reference,2024-09-06,1772,5066.1227738157895,54597.75265029942
RAPSODI_native,5kmplus,reference,2024-09-07,2363,-624.596653326918,22510.081050313987
RAPSODI_native,5kmplus,reference,2024-09-08,1897,-1024.7074954861303,11091.715122475707
RAPSODI_native,5kmplus,reference,2024-09-09,1892,-57.12190949325766,14839.149412552235
RAPSODI_native,5kmplus,reference,2024-09-10,2833,2400.9746436754,52944.46291194692
RAPSODI_native,5kmplus,reference,2024-09-11,472,322.79153802430204,1529.6341387187729
RAPSODI_native,all,ERA5,2024-08-09,85,-503.4490798085968,10114.853466976707
RAPSODI_native,all,ERA5,2024-08-10,3559,-6331.902448444993,275795.90370363736
RAPSODI_native,all,ERA5,2024-08-11,3495,-10225.890448779559,251459.54078974747
RAPSODI_native,all,ERA5,2024-08-12,2221,-6698.443006707337,144187.48449889407
RAPSODI_native,all,ERA5,2024-08-13,2622,-6681.551426398818,141520.6926859516
RAPSODI_native,all,ERA5,2024-08-14,3056,-10294.134322199769,192500.34650373578
RAPSODI_native,all,ERA5,2024-08-15,4079,-5060.892070438904,199340.5720300336
RAPSODI_native,all,ERA5,2024-08-16,5784,-9994.624553619204,271631.91947682935
RAPSODI_native,all,ERA5,2024-08-17,3852,-6943.881747357815,89876.32948692207
RAPSODI_native,all,ERA5,2024-08-18,3846,-11821.761762100707,259008.4473681707
RAPSODI_native,all,ERA5,2024-08-19,4806,-22720.937091019856,472766.5408936028
RAPSODI_native,all,ERA5,2024-08-20,4811,-11437.434723917875,279448.1226697893
RAPSODI_native,all,ERA5,2024-08-21,3847,-8296.378578681019,262585.83959125425
RAPSODI_native,all,ERA5,2024-08-22,5762,-20777.537895549445,332836.62653755315
RAPSODI_native,all,ERA5,2024-08-23,3844,-15612.691192700584,160801.25942998196
RAPSODI_native,all,ERA5,2024-08-24,3845,-11751.317579352324,306053.75644331996
RAPSODI_native,all,ERA5,2024-08-25,4800,-14282.299486782995,477590.91595243197
RAPSODI_native,all,ERA5,2024-08-26,5770,-15522.567477510993,259925.163725157
RAPSODI_native,all,ERA5,2024-08-27,4803,-8257.42218168107,109380.62118531133
RAPSODI_native,all,ERA5,2024-08-28,3460,-6070.072273584001,138994.82446576242
RAPSODI_native,all,ERA5,2024-08-29,4800,-9398.859883651174,213143.49399124808
RAPSODI_native,all,ERA5,2024-08-30,4805,-13850.555912793781,314050.28841540765
RAPSODI_native,all,ERA5,2024-08-31,4809,-11978.381938875442,175573.18353818113
RAPSODI_native,all,ERA5,2024-09-01,4806,-15972.71445584669,377904.54147938214
RAPSODI_native,all,ERA5,2024-09-02,4802,-20179.616995651828,456034.6540381884
RAPSODI_native,all,ERA5,2024-09-03,5759,-15399.217504819466,411618.88596551627
RAPSODI_native,all,ERA5,2024-09-04,3839,-10326.542687480316,252358.80737225412
RAPSODI_native,all,ERA5,2024-09-05,3843,-1687.9947396779125,199357.25056901638
RAPSODI_native,all,ERA5,2024-09-06,3721,-1322.8542281044881,190837.22912442993
RAPSODI_native,all,ERA5,2024-09-07,4805,-13375.02341977452,202795.88695487345
RAPSODI_native,all,ERA5,2024-09-08,3844,-11862.296703709022,154397.22285690726
RAPSODI_native,all,ERA5,2024-09-09,3840,-11762.710124097974,218942.69277037933
RAPSODI_native,all,ERA5,2024-09-10,5767,-14564.055624439776,241577.07160180144
RAPSODI_native,all,ERA5,2024-09-11,959,-2925.6717955765384,34107.34226487718
RAPSODI_native,all,reference,2024-08-09,85,-185.48608967672732,6938.7862533139405
RAPSODI_native,all,reference,2024-08-10,3559,-2173.9537583630313,258710.91990898157
RAPSODI_native,all,reference,2024-08-11,3495,-5168.398941374427,200770.67648704292
RAPSODI_native,all,reference,2024-08-12,2221,-3687.051383396704,128451.80886043418
RAPSODI_native,all,reference,2024-08-13,2622,-2982.6701133086763,115171.05234611072
RAPSODI_native,all,reference,2024-08-14,3056,-6966.534930297403,175337.97285337368
RAPSODI_native,all,reference,2024-08-15,4079,-1030.4474490777602,189570.314456395
RAPSODI_native,all,reference,2024-08-16,5784,-2259.339474606723,223655.1210145259
RAPSODI_native,all,reference,2024-08-17,3852,-1691.4074731224218,53988.19537413377
RAPSODI_native,all,reference,2024-08-18,3846,-6995.416957678082,225123.07023529347
RAPSODI_native,all,reference,2024-08-19,4806,-17575.412648002428,410626.14434010524
RAPSODI_native,all,reference,2024-08-20,4811,-6059.510197154131,250177.34263675785
RAPSODI_native,all,reference,2024-08-21,3847,-3146.325586917317,209664.91215350805
RAPSODI_native,all,reference,2024-08-22,5762,-12391.041862010501,254732.89937525158
RAPSODI_native,all,reference,2024-08-23,3844,-10080.04608982039,102756.0714046457
RAPSODI_native,all,reference,2024-08-24,3845,-7170.125680199501,258693.01553108526
RAPSODI_native,all,reference,2024-08-25,4800,-9104.396809972846,432729.07804920286
RAPSODI_native,all,reference,2024-08-26,5770,-8614.6819593358,219261.7105107673
RAPSODI_native,all,reference,2024-08-27,4803,-2023.206500940776,88743.52600235202
RAPSODI_native,all,reference,2024-08-28,3460,-1139.85702914762,123805.75390083232
RAPSODI_native,all,reference,2024-08-29,4800,-2794.6059437665863,164335.98663261143
RAPSODI_native,all,reference,2024-08-30,4805,-8291.527692653905,270981.5281861405
RAPSODI_native,all,reference,2024-08-31,4809,-6459.8562665032505,126221.29103599761
RAPSODI_native,all,reference,2024-09-01,4806,-10611.994728499212,296803.1901082955
RAPSODI_native,all,reference,2024-09-02,4802,-14897.868570772644,373631.8752514245
RAPSODI_native,all,reference,2024-09-03,5759,-8314.360056522446,341646.11796547973
RAPSODI_native,all,reference,2024-09-04,3839,-5442.039168597974,205381.74243165064
RAPSODI_native,all,reference,2024-09-05,3843,2823.1239718671636,179751.62241193786
RAPSODI_native,all,reference,2024-09-06,3721,3387.331422113481,176326.37032213886
RAPSODI_native,all,reference,2024-09-07,4805,-7501.101046484258,147654.6586680446
RAPSODI_native,all,reference,2024-09-08,3844,-7464.9007855181635,130918.56495116826
RAPSODI_native,all,reference,2024-09-09,3840,-7411.363764721608,188327.32465788262
RAPSODI_native,all,reference,2024-09-10,5767,-6430.204019366696,176584.22477922306
RAPSODI_native,all,reference,2024-09-11,959,-1522.0019332350425,18506.6644992545
RAPSODI_native,below2km,ERA5,2024-08-09,85,-503.4490798085968,10114.853466976707
RAPSODI_native,below2km,ERA5,2024-08-10,1046,-4778.537322367152,236422.59476198672
RAPSODI_native,below2km,ERA5,2024-08-11,952,-9689.790648196735,198929.70008860528
RAPSODI_native,below2km,ERA5,2024-08-12,563,-4511.426723760356,94046.91980412662
RAPSODI_native,below2km,ERA5,2024-08-13,685,-6102.486108830035,103178.18380149313
RAPSODI_native,below2km,ERA5,2024-08-14,758,-3034.2302769319776,107323.61025925005
RAPSODI_native,below2km,ERA5,2024-08-15,946,-1736.028512580939,156379.55462622564
RAPSODI_native,below2km,ERA5,2024-08-16,1144,-6437.148798866149,141826.75320502004
RAPSODI_native,below2km,ERA5,2024-08-17,760,-4270.896930060658,43730.0767519498
RAPSODI_native,below2km,ERA5,2024-08-18,755,-5277.803981543235,57914.647818445235
RAPSODI_native,below2km,ERA5,2024-08-19,938,-10715.721637242375,273285.14115444414
RAPSODI_native,below2km,ERA5,2024-08-20,944,-3346.5389297169027,140884.06203387957
RAPSODI_native,below2km,ERA5,2024-08-21,761,-9247.791565251384,190885.54985755862
RAPSODI_native,below2km,ERA5,2024-08-22,1128,-10340.323055840998,147104.4060969752
RAPSODI_native,below2km,ERA5,2024-08-23,752,-7011.21602493606,87191.62786331667
RAPSODI_native,below2km,ERA5,2024-08-24,754,-7798.21279802084,219835.22757929788
RAPSODI_native,below2km,ERA5,2024-08-25,942,-6660.883014914653,385699.6052845686
RAPSODI_native,below2km,ERA5,2024-08-26,1131,-2426.473815689359,118680.62154976495
RAPSODI_native,below2km,ERA5,2024-08-27,935,-2304.6441114658674,26608.39591851375
RAPSODI_native,below2km,ERA5,2024-08-28,747,-2081.743629807674,87209.37490984802
RAPSODI_native,below2km,ERA5,2024-08-29,939,-5728.195979300737,139259.2171860661
RAPSODI_native,below2km,ERA5,2024-08-30,946,-6627.966467515076,253721.97185270058
RAPSODI_native,below2km,ERA5,2024-08-31,945,-8985.704352313029,127196.75650258362
RAPSODI_native,below2km,ERA5,2024-09-01,940,-12998.74695881142,328115.21614800015
RAPSODI_native,below2km,ERA5,2024-09-02,944,-11106.457007655568,318579.09904514014
RAPSODI_native,below2km,ERA5,2024-09-03,1129,-7092.730596408314,214269.32643858768
RAPSODI_native,below2km,ERA5,2024-09-04,749,-4940.849106823854,133204.32388825313
RAPSODI_native,below2km,ERA5,2024-09-05,752,-5902.754878770623,112090.7187508038
RAPSODI_native,below2km,ERA5,2024-09-06,749,-4485.358973319975,87095.44329269689
RAPSODI_native,below2km,ERA5,2024-09-07,942,-7622.462643095788,83798.04073196265
RAPSODI_native,below2km,ERA5,2024-09-08,747,-3402.859377598712,37393.88636834365
RAPSODI_native,below2km,ERA5,2024-09-09,748,-2381.4444270745907,99690.33474572029
RAPSODI_native,below2km,ERA5,2024-09-10,1134,-7938.988635634895,104610.99621728409
RAPSODI_native,below2km,ERA5,2024-09-11,187,-2214.8146272984595,29284.765555617192
RAPSODI_native,below2km,reference,2024-08-09,85,-185.48608967672732,6938.7862533139405
RAPSODI_native,below2km,reference,2024-08-10,1046,-1878.3300013367957,220292.06970167928
RAPSODI_native,below2km,reference,2024-08-11,952,-6672.389239010904,152651.91755526775
RAPSODI_native,below2km,reference,2024-08-12,563,-2756.115102135105,74256.97670865103
RAPSODI_native,below2km,reference,2024-08-13,685,-3978.3675236109684,73559.91278975795
RAPSODI_native,below2km,reference,2024-08-14,758,-914.4022097617399,97945.2276276731
RAPSODI_native,below2km,reference,2024-08-15,946,813.4229893010007,148074.6351332139
RAPSODI_native,below2km,reference,2024-08-16,1144,-2540.967811229734,110756.38118261792
RAPSODI_native,below2km,reference,2024-08-17,760,-1538.1160275309248,18668.095959210914
RAPSODI_native,below2km,reference,2024-08-18,755,-2632.995375057016,35545.809113182935
RAPSODI_native,below2km,reference,2024-08-19,938,-8134.332886565172,229566.39325543004
RAPSODI_native,below2km,reference,2024-08-20,944,-867.3515896587342,127764.56419381856
RAPSODI_native,below2km,reference,2024-08-21,761,-6654.076962682652,136140.28143088735
RAPSODI_native,below2km,reference,2024-08-22,1128,-6169.526606104067,82541.59396003418
RAPSODI_native,below2km,reference,2024-08-23,752,-4182.82299168417,49454.010831380205
RAPSODI_native,below2km,reference,2024-08-24,754,-5302.07717617936,180031.88797175634
RAPSODI_native,below2km,reference,2024-08-25,942,-4207.488596017487,353608.448412974
RAPSODI_native,below2km,reference,2024-08-26,1131,843.1615464878469,106779.50228093928
RAPSODI_native,below2km,reference,2024-08-27,935,744.9074384198279,21200.105779237834
RAPSODI_native,below2km,reference,2024-08-28,747,709.5600369133981,81537.02995459246
RAPSODI_native,below2km,reference,2024-08-29,939,-2191.281764867184,100586.628413905
RAPSODI_native,below2km,reference,2024-08-30,946,-3809.619902270941,220445.985394708
RAPSODI_native,below2km,reference,2024-08-31,945,-5919.521654298315,79545.58171435006
RAPSODI_native,below2km,reference,2024-09-01,940,-9846.222317614953,248518.20497433582
RAPSODI_native,below2km,reference,2024-09-02,944,-8147.538203381224,256247.3944910338
RAPSODI_native,below2km,reference,2024-09-03,1129,-3653.2420380903873,170644.46885550418
RAPSODI_native,below2km,reference,2024-09-04,749,-2541.194650958339,102864.24037866213
RAPSODI_native,below2km,reference,2024-09-05,752,-3714.4260881787673,90250.08536870628
