dataset,group,model,cluster,n,error,sse
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_259.tar.gz,16828,87781.89457192415,2094430.0629268326
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_289.tar.gz,18161,97747.3458131499,2231885.4041751497
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_320.tar.gz,17217,88187.80428452852,2035630.7655848823
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_350.tar.gz,19471,89555.31978141742,2096395.4172299893
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_015.tar.gz,19288,93846.51106060632,2143349.443055365
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_046.tar.gz,18139,87039.72318126837,2050812.1193633836
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_074.tar.gz,14597,72046.00437112743,1709011.0018806772
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_105.tar.gz,11013,56640.590382032715,1208246.8011885479
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_135.tar.gz,20413,99880.7249458554,2157473.9429526357
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_166.tar.gz,16506,88573.04844351683,1922802.7665661848
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_196.tar.gz,11168,55782.98555079699,1242591.4442976692
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_227.tar.gz,13552,69160.0690470734,1461644.2387155602
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_258.tar.gz,17406,81751.39104008013,1881410.9117474079
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_288.tar.gz,14709,66642.4887842887,1536901.2840933846
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_319.tar.gz,12665,66056.67151523501,1420446.603314198
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_349.tar.gz,15875,80182.29757595173,1762761.762223546
COSMIC2,2-5,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_015.tar.gz,26210,4207.942608436062,640508.5458117076
COSMIC2,2-5,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_046.tar.gz,24178,-945.5033711067923,656345.4829739811
COSMIC2,2-5,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_075.tar.gz,26406,8889.231630380842,765378.910411843
COSMIC2,2-5,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_106.tar.gz,30002,1921.7874578374988,838257.3995416785
COSMIC2,2-5,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_136.tar.gz,29483,3963.2617149307243,794079.4811800481
COSMIC2,2-5,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_167.tar.gz,31148,-3145.2488531685312,753100.5103770561
COSMIC2,2-5,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_197.tar.gz,22009,-141.05986325968468,513018.7070579329
COSMIC2,2-5,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_228.tar.gz,27603,3060.5068999219757,659752.081252773
COSMIC2,2-5,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_259.tar.gz,32524,-4147.411447673237,968938.2693137224
COSMIC2,2-5,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_289.tar.gz,35012,-5516.402430956682,890111.8735446988
COSMIC2,2-5,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_320.tar.gz,33121,-4431.404838654832,872925.3043598408
COSMIC2,2-5,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_350.tar.gz,37283,573.7564113151568,934702.8243077107
COSMIC2,2-5,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_015.tar.gz,37216,-5305.270386923837,951715.7217809132
COSMIC2,2-5,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_046.tar.gz,34905,-4861.183170940611,883680.2377198592
COSMIC2,2-5,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_074.tar.gz,28004,19.49570060633863,737691.3721574638
COSMIC2,2-5,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_105.tar.gz,21150,293.32282239252834,518537.4981457073
COSMIC2,2-5,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_135.tar.gz,38916,-195.3599344409723,964589.912759957
COSMIC2,2-5,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_166.tar.gz,31892,-3708.834694621092,776408.3000822389
COSMIC2,2-5,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_196.tar.gz,21340,6843.028611022661,518066.41708712996
COSMIC2,2-5,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_227.tar.gz,26090,-1125.337705214684,627136.9516949247
COSMIC2,2-5,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_258.tar.gz,33228,-1780.2982602071695,833743.0188597004
COSMIC2,2-5,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_288.tar.gz,28123,2088.36311024849,668038.6451025034
COSMIC2,2-5,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_319.tar.gz,24012,6332.54235668265,575140.0261857474
COSMIC2,2-5,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_349.tar.gz,30345,6708.947592486884,699923.9463732031
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_015.tar.gz,26210,12759.122355666683,651227.0665201744
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_046.tar.gz,24178,6978.159165573904,667303.8653189796
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_075.tar.gz,26406,16469.14091577418,781458.8676101966
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_106.tar.gz,30002,11675.82802088709,856091.7068441473
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_136.tar.gz,29483,17091.64427763895,816091.0963029495
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_167.tar.gz,31148,11990.718714660969,768054.3801614966
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_197.tar.gz,22009,11307.519811106284,526235.0414840913
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_228.tar.gz,27603,16942.251871727978,678591.1606426483
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_259.tar.gz,32524,9669.253188239236,972313.2129025338
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_289.tar.gz,35012,10270.550854693738,905978.774212438
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_320.tar.gz,33121,7976.642645024566,883744.2027449844
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_350.tar.gz,37283,13470.254626393607,949852.646672028
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_015.tar.gz,37216,7482.522844414868,963511.3884585341
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_046.tar.gz,34905,8342.228171332126,892735.1418342601
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_074.tar.gz,28004,9092.299065249963,747227.9810740617
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_105.tar.gz,21150,7951.063991511609,528441.5593774471
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_135.tar.gz,38916,17608.58681872432,987344.4596999205
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_166.tar.gz,31892,13266.783289375444,790718.6172671692
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_196.tar.gz,21340,18549.436923528807,537109.9013410377
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_227.tar.gz,26090,13725.827517010983,644193.8193960745
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_258.tar.gz,33228,14778.519384727208,852052.6784572635
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_288.tar.gz,28123,14301.187376556543,679774.3933199117
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_319.tar.gz,24012,16193.22710376774,590938.4973031351
COSMIC2,2-5,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_349.tar.gz,30345,17601.24896800851,718481.1480512983
COSMIC2,5-9,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_015.tar.gz,35716,3628.6686650187053,140097.4190693428
COSMIC2,5-9,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_046.tar.gz,32838,6490.355933801815,180101.72278681924
COSMIC2,5-9,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_075.tar.gz,35887,3783.627150232761,174486.7399676387
COSMIC2,5-9,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_106.tar.gz,40852,3836.9083256920367,196144.6250407274
COSMIC2,5-9,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_136.tar.gz,40071,4723.604705252569,183515.5977800465
COSMIC2,5-9,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_167.tar.gz,42422,5893.731246428225,183192.1159266698
COSMIC2,5-9,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_197.tar.gz,29932,3753.8393919366044,137017.20118782594
COSMIC2,5-9,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_228.tar.gz,37489,3698.448948166061,169667.24205321708
COSMIC2,5-9,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_259.tar.gz,44270,3250.127462387307,212466.79600589938
COSMIC2,5-9,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_289.tar.gz,47444,6958.794632498013,208359.10676611942
COSMIC2,5-9,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_320.tar.gz,45063,2561.120342880605,190028.42093513889
COSMIC2,5-9,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_350.tar.gz,50574,4266.042205255164,202669.8061827261
COSMIC2,5-9,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_015.tar.gz,50508,6970.4381442135245,218224.58010835195
COSMIC2,5-9,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_046.tar.gz,47362,-955.1346184219891,190082.0234985406
COSMIC2,5-9,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_074.tar.gz,38111,221.35217462980464,158644.79163759336
COSMIC2,5-9,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_105.tar.gz,28812,2057.644680599533,135806.12430294591
COSMIC2,5-9,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_135.tar.gz,52899,5781.634384899053,221259.65340793587
COSMIC2,5-9,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_166.tar.gz,43315,-29.426938373860708,166373.83736357462
