model,pressure,n,dry_mse,wet_mse,cross,mse,rmse,bias,bias_squared,centered_variance,dry_bias_squared,wet_bias_squared,dry_variance,wet_variance,centered_cross
ERA5,all,214251,0.411772325123607,18.748108561695116,0.6847542959690217,19.844635182787748,4.454731774505368,-0.2113056433255373,0.04465007490121919,19.799985107886528,0.003520567756703844,0.07324601815115497,0.4082517573669032,18.674862543543963,0.7168708069756613
ERA5,1000,13594,1.2473829555089593,54.75432949882617,0.5192052670814481,56.52091772141658,7.518039486556091,0.46077199486072457,0.2123108312479316,56.30860689016865,2.8324550082663236e-05,0.20743462370095386,1.2473546309588768,54.54689487512521,0.5143573840845529
ERA5,925,32894,0.773445943896017,41.78428001550679,1.8130712302643894,44.37079718966719,6.661140832445085,-0.4499797172170232,0.20248174590671214,44.168315443760484,0.01785373771432647,0.34058615486003563,0.7555922061816904,41.44369386064676,1.9690293769320395
ERA5,850,40413,0.5161132827188104,29.49337211436757,1.2139275134097756,31.223412910496158,5.587791416158638,-0.6783138117155547,0.460109627164085,30.76330328333207,0.006288499508691845,0.5739787785459783,0.5098247832101186,28.91939333582159,1.334085164300361
ERA5,700,42894,0.30999236448708334,13.789393465793538,0.6254282751372768,14.7248141054179,3.8372925488445495,-0.18309560446898138,0.03352400037586167,14.691290105042034,0.0034783952681817403,0.05859959215450929,0.3065139692189016,13.730793873639028,0.6539822621841062
ERA5,500,42591,0.173498378932292,2.6052221114962397,0.09697124503079875,2.875691735459331,1.6957864651716414,-0.03936743975959825,0.001549795313225597,2.8741419401461052,0.0014525361540910127,0.006003087188064959,0.17204584277820104,2.599219024308175,0.10287707305972911
ERA5,300,41865,0.10223359895913237,0.08746303318276617,-8.656666995162411e-05,0.18961006547194692,0.4354423790491079,0.004981499811647883,2.4815340373447894e-05,0.18958525013157346,0.0004489831018904487,0.0002626902378251498,0.10178461585724195,0.087200342944941,0.0006002913293905251
reference,all,214251,0.4710277628972116,18.804883170929322,0.50486272538025,19.780773659206783,4.447558168164503,0.05145769216388928,0.0026478940828335924,19.77812576512395,0.00026143121166788397,0.0012453034695924336,0.47076633168554366,18.803637867459727,0.5037215659786766
reference,1000,13594,1.3078179741960676,57.839480247348746,-1.691209329706221,57.45608889183858,7.579979478325689,0.9578086582374897,0.9173974257947004,56.538691466043886,0.0022125141691007153,1.0097155403062281,1.3056054600269669,56.829764707042514,-1.5966787010255927
reference,925,32894,0.7961624566951357,42.79483333447081,1.4636222840996262,45.05461807526557,6.712273688942188,-0.09870427464229548,0.009742533832661694,45.044875541432916,0.0008195679180163338,0.0049106707214825965,0.7953428887771194,42.78992266374933,1.4596099889064633
reference,850,40413,0.5349389145586979,28.239929830256596,1.2715007260177624,30.046369470833053,5.481456874849337,-0.16486883100379227,0.027181731436557013,30.019187739396497,0.0006855451680530268,0.019233782608400477,0.5342533693906449,28.220696047648197,1.2642383223576588
reference,700,42894,0.34711210661617314,13.503985556768725,0.6542495040332291,14.505347167418126,3.8085886056934695,0.04030095388273299,0.0016241668838581714,14.503723000534269,0.0008057409573966587,0.0001419762164269976,0.3463063656587764,13.5038435805523,0.6535730543231947
reference,500,42591,0.35363466921557823,2.5934386934163483,0.08881010788133284,3.0358834705132587,1.742378681720268,0.09679872175002652,0.009369992532439057,3.02651347798082,0.006504303536833562,0.00026080503506154115,0.34713036567874467,2.5931778883812866,0.0862052239207889
reference,300,41865,0.1285454815460144,0.09660800130761639,-0.005202349959006307,0.21995113289462445,0.4689894805799214,0.04926812629317105,0.002427348268439853,0.21752378462618457,0.0012011389006318447,0.00021347183639486918,0.12734434264538252,0.0963945294712215,-0.0062150874904194475
