contrast,estimate,lower,upper,clusters
crossfit_nll minus reference_nll,-0.0007262920544916534,-0.011631392766176678,0.006679273109116966,94
reference_nll minus diagonal_nll,-0.07655547206054031,-0.14119977833467878,-0.030591025195668614,94
crossfit_nll minus diagonal_nll,-0.07728176411503195,-0.1523051006035973,-0.02404463275466574,94
