component,n,gaussian_nll,crps,central_interval_score_90,profile_energy_score,multivariate_gaussian_nll
dry,283749,0.7770016758099908,0.29810065039909805,2.6994500720600794,,
wet,283749,1.87221220171264,1.5981484284185417,13.65749697454012,,
total,283749,2.1181395900090734,1.6993458030770265,14.515404423950827,5.140985407695854,10.506368696579317
