component,n,rmse,mae,bias
dry,283749,0.6848021865834106,0.399024934980789,0.03441185350333448
wet,283749,4.2012215626956095,2.1706264840279488,0.005814540105069324
total,283749,4.335844734451488,2.3098337208011572,0.0402263936084038
