pressure_hpa,component,n,rmse,mae,bias
300,dry,55790,0.3682821734940073,0.2064953311445744,0.029076550921654475
500,dry,56267,0.5748404536627971,0.2925085217736419,0.06444950694713295
700,dry,56366,0.5724608741085715,0.36708330920055054,0.03202258455229504
850,dry,52863,0.7087165213213521,0.4718343238580549,0.020631242100392903
925,dry,43425,0.914871922487929,0.5768795958961495,0.013399135426968417
1000,dry,19038,1.158136816986951,0.7647537890731004,0.05453808322619962
300,wet,55790,0.29694460584939036,0.17077065787635093,0.016974306616838825
500,wet,56267,1.5774384998244995,0.9214386805970672,-0.008127835217091012
700,wet,56366,3.618473626439744,2.263037168849309,0.016303023905176062
850,wet,52863,5.299443315396273,3.316995259619104,-0.07190524337164382
925,wet,43425,6.392668509962054,3.896334088382032,-0.003825726198309836
1000,wet,19038,6.7447511128591,4.33008864984637,0.22105920124790415
300,total,55790,0.46849336984767437,0.3024341188304618,0.0460508575384933
500,total,56267,1.7073366768596738,1.0523370611667726,0.05632167173004191
700,total,56366,3.7706169162985814,2.397790771470079,0.0483256084574712
850,total,52863,5.496326944249599,3.470984816856081,-0.05127400127125089
925,total,43425,6.5721720344730645,4.057579108594508,0.009573409228658623
1000,total,19038,6.814431108338987,4.437831796644782,0.27559728447410325
